| Section | Content |
| ------- | ------- |
| System Name | GenoMap Precision Oncology Recommender — Genomic-guided decision support system for oncology treatment selection. |
| Versioning Information | Initial release: 2023-02-01. Current version: 1.2. Last update: 2024-10-05. Follows semantic versioning. Significant updates undergo review by a joint medical board and bioethics oversight committee. Updates are recorded via Git and regulatory-compliance audit trails. |
| Primary Developer/Org | Developed by BioSakura Institute of Genomic Medicine, Tokyo. Clinical trials coordinated in partnership with National Cancer Center Japan and multiple oncology hospitals. |
| Contact Info | contact@biosakura.jp, Regulatory & Privacy: privacy@biosakura.jp, Phone: +81-3-3333-9898 |
| System Overview | GenoMap integrates next-gen sequencing (NGS) variant interpretation with a treatment recommendation engine built on ensemble machine learning models (random forest + neural network classifiers). It uses secure APIs to ingest patient VCF files and outputs treatment options ranked by evidence strength. Operates under oncologist supervision. |
| Primary intended uses | Designed to support oncologists in selecting personalized cancer therapies based on tumor mutation profiles. Outputs include therapy suggestions, mutation relevance scores, and eligibility flags for clinical trials. Intended as a second-opinion support tool, not a prescriptive directive. |
| Primary intended users | Board-certified oncologists, genomic counselors, and hospital-based precision medicine teams. Use requires certified training in NGS interpretation and signed institutional data use agreements. |
| Out-of-scope use cases | Not intended for self-diagnosis, unsupervised usage by patients, or genomic screening of healthy individuals. Not authorized for use in pediatric oncology, psychiatric genomics, or germline trait prediction. |
| Terms and conditions | Use is restricted to licensed oncology clinics that have completed onboarding and data compliance setup. GenoMap does not provide direct-to-consumer outputs. All sequencing data is encrypted in transit and stored only with explicit consent. Outputs must be validated by a licensed physician before informing treatment. HIPAA, APPI, and EU data portability rules are enforced. The model may not be used for insurance rate adjustments or commercial screening purposes. |
| Current legal compliance status | Classified as high-risk under EU AI Act due to use in medical treatment. APPI-compliant data encryption and consent collection verified via third-party audit. Clinical trial arm approved by Japan’s PMDA with HIPAA safeguards for international collaboration. |
| Dataset Description | Trained on 180,000 anonymized somatic mutation profiles from Japanese and international cancer registries, paired with clinical outcomes and treatment data. Includes breast, lung, gastric, and colorectal cancers. Mutation-treatment mappings are curated from academic literature and clinical trial registries. |
| Collection Method | Datasets obtained through research consents in hospital-based sequencing programs. Clinical annotations provided by certified tumor boards. Public datasets include TCGA, ICGC, and BioBank Japan. Data de-identified and harmonized under local ethics guidelines. |
| Bias Mitigation Measures | Model retrained quarterly with new cancer registry submissions. Mutation frequencies adjusted to reflect underrepresented groups (e.g., rural vs urban hospitals). Model performance monitored by cancer type, treatment access, and sex. Bias audit reports published semi-annually. |
| Usage Constraints | Use limited to Japan and authorized international research sites with HIPAA-compliant infrastructure. Deployment requires dual-authentication login and VCF validation checkers. Commercial resale, germline trait inference, or unsupervised mobile use is strictly prohibited. |
| Summary of Performance Assessment | Therapy recommendation top-3 accuracy: 88.7% (cross-validated against expert panel decisions). Tumor-drug relevance scoring AUC: 0.94. Model reduced average treatment selection time by 2.5 days. Validated across 12 oncology centers using real-world trial cases. |
| Disaggregated Performance | Performance consistent across breast (89.5%), lung (88.2%), and gastric (87.1%) cancer cohorts. Slight underperformance in rare mutation sets (<1% prevalence) noted, with updates underway. Male vs. female performance parity within ±1.2%. |
| Testing Contexts | Evaluated in controlled clinical workflows and retrospective case analyses. Tests included rare mutations, low-quality sequence inputs, and delayed diagnoses. Feedback loops integrated via physician dashboard. Testing supported by medical device trial protocols. |
| Evaluations for Edge Cases or Adversarial Inputs | Tested with invalid VCFs, conflicting mutation data, and ambiguous gene notations. Model flagged edge cases with <70% confidence and deferred to manual review. Known issue: synonymous variants occasionally assigned elevated relevance scores — being corrected via rule-tuning. |
| Potential Risks and Harms | Incorrect therapy suggestion could lead to ineffective or harmful treatment. Risk of clinical over-reliance without multidisciplinary review. Unauthorized access to genomic data could result in privacy violations or discrimination. |
| Actions taken | All outputs require co-sign by certified oncologist. Anomalies flagged via internal audit system. Role-based access controls and automatic redaction of personally identifiable genomic traits are in place. All system usage logged and monitored. |
| Misuse Scenarios | Misuse includes attempts to use for germline trait prediction, integration with insurance claims processing, or unauthorized international data exports. Restrictions enforced through license, data gateway firewalls, and monitoring scripts. |
| Human Oversight | Clinical users receive full transparency interface including evidence levels, variant sources, and model uncertainty scores. Oncology boards review model suggestions biweekly. In ambiguous cases, the system defaults to “Refer to Human Review.” |
| Update Frequency | Model and evidence graph updated quarterly based on new literature, trials, and outcome data. Regulatory and fairness updates fast-tracked within 30 days of discovery. Model cards updated for each new cancer type expansion. |
