| Section | Content |
| ------- | ------- |
| System Name | NeuroSync Cognitive Rehabilitation Assistant — AI-driven therapy platform for post-stroke and traumatic brain injury cognitive recovery. |
| Versioning Information | Initial release: 2021-11-01. Current version: 2.2. Last update: 2024-10-28. Versioning maintained via Git and Swedish eHealth registry. All updates validated through CE-mark documentation review and internal clinical risk assessment. |
| Primary Developer/Org | Developed by MindMotion Neuro AB in Stockholm, Sweden. Co-developed with Uppsala University Hospital’s Neurorehabilitation Unit. |
| Contact Info | neuro@mindmotion.se, Compliance contact: gdpr@mindmotion.se, Phone: +46 8 520 701 00 |
| System Overview | NeuroSync combines cognitive task modules with adaptive reinforcement learning algorithms to provide personalized brain rehabilitation programs. The platform includes speech-based interaction, touchscreen activities, and real-time clinician dashboards. Designed for supervised therapy sessions. |
| Primary intended uses | Supports neurologists and therapists in providing evidence-based cognitive exercises tailored to attention, memory, and problem-solving deficits in patients recovering from stroke, TBI, or neurodegenerative decline. Tracks progress and suggests dynamic difficulty adjustments. |
| Primary intended users | Licensed cognitive therapists, neuropsychologists, and rehab clinicians in medical facilities. Patients interact with the system under supervision. Caregivers can view summary reports but cannot modify task flow. |
| Out-of-scope use cases | Not for self-guided use by patients at home without clinical supervision. Not authorized for use in psychiatric care, general education, or workplace screening. Cannot diagnose or replace full neuropsychological evaluations. |
| Terms and conditions | NeuroSync is CE-certified for Class IIa medical device use in EU clinical settings. May only be used in facilities with documented patient consent, encrypted EHR integration, and therapist oversight. All patient interactions are logged and stored securely in compliance with GDPR and Sweden’s PDL. No biometric or facial data are stored. |
| Current legal compliance status | Fully compliant with GDPR and Swedish PDL. Classified as high-risk under the EU AI Act. CE-marked under MDR and audited by Notified Body SE-MED220. Risk management process reviewed biannually. No open regulatory findings as of 2024-Q4. |
| Dataset Description | Trained on 210,000 anonymized therapy sessions from Swedish and EU-based clinics. Includes response accuracy, latency, and clinician-scored difficulty ratings. Supplemented with synthetic patient profiles to model edge scenarios. |
| Collection Method | Data collected through informed patient consent at rehabilitation centers. Therapy sessions logged automatically via tablet-based interface. Clinician evaluations appended to session metadata. Sensitive demographic data stripped prior to modeling. |
| Bias Mitigation Measures | Model performance evaluated by patient age, gender, injury type, and recovery stage. Any subgroup lag >5% triggers task difficulty rebalancing. Fairness committee includes cognitive scientists, accessibility experts, and patient advocates. |
| Usage Constraints | Licensed deployment restricted to EU clinics and approved international research hospitals. Cannot be used for employment screening or academic placement. Export of model weights outside EU requires regulatory disclosure and approval. |
| Summary of Performance Assessment | Median cognitive recovery acceleration: +22% compared to baseline therapy across 12-week program. Task response accuracy prediction AUC: 0.91. Therapist satisfaction (Likert 1–5): avg. 4.6. Adherence rate improvement: +18% over standard programs. |
| Disaggregated Performance | Recovery improvement by age: 18–45 (24.1%), 46–65 (20.8%), 65+ (19.4%). Slightly lower adherence in low-digital-literacy groups mitigated by caregiver-assisted mode. Performance parity within ±3% across gender and language groups. |
| Testing Contexts | Pilot-tested in 8 EU hospitals with in-clinic and telerehab formats. Scenarios included aphasia patients, left/right brain lesions, and severe memory deficits. Therapist validation included usability trials and outlier response logs. |
| Evaluations for Edge Cases or Adversarial Inputs | Tested for inconsistent responses, session dropouts, and patient frustration events. System includes frustration detection (based on response pattern volatility). Known limitation: false positives in detection when patients pause due to fatigue — under review. |
| Potential Risks and Harms | Over-reliance could obscure deeper impairments if not complemented by full assessment. Misadjusted difficulty may frustrate patients or lead to disengagement. Risk of emotional misinterpretation without real-time therapist support. |
| Actions taken | Tasks include real-time “pause and flag” button for clinician intervention. Difficulty shifts include contextual explanations. Sessions flagged for anomalies are reviewed weekly. Patient-facing messages undergo psychologist review for emotional safety. |
| Misuse Scenarios | Unauthorized use in nursing homes without therapists, exporting to non-compliant jurisdictions, or integrating with wearable trackers without patient consent. Mitigated by license tracking, offline-mode restrictions, and jurisdictional activation locks. |
| Human Oversight | All sessions are monitored by assigned therapists. Clinicians can manually override or lock task difficulty. Feedback and observations are appended to each session. Critical cases trigger automated alerts for review by clinical board. |
| Update Frequency | Model updated every 6 months. Emergency updates (e.g., new medical risk guidelines) deployed within 14 days. All updates logged with impact statements and independently reviewed before production release. |
