| Section | Content |
| ------- | ------- |
| System Name | EduGuide Adaptive Learning Tutor — A real-time AI-powered personalized learning assistant for middle and high school students in Portuguese and Spanish. |
| Versioning Information | Initial launch: 2021-01-20. Current version: 2.7. Last update: 2024-09-30. Version history tracked through Git and mirrored in the school dashboard. Major curriculum-aligned updates are reviewed quarterly by pedagogical boards. |
| Primary Developer/Org | Developed by EduNova Brasil Ltda., in collaboration with São Paulo State Department of Education and UNESCO’s Inclusive AI for Learning initiative. |
| Contact Info | support@eduguide.com.br, Phone: +55 11 4002-8922, Privacy Officer: lgpd@eduguide.com.br |
| System Overview | EduGuide combines reinforcement learning and knowledge tracing models to adaptively deliver math, science, and language content. Includes speech-to-text, emotion detection via webcam (optional), and a teacher dashboard. Operates with real-time feedback and human teacher oversight. |
| Primary intended uses | Designed to support K–12 students by adjusting lesson pacing and content difficulty based on engagement, performance, and knowledge gaps. Teachers can assign modules, monitor learning progress, and intervene when students struggle. |
| Primary intended users | Students aged 10–18 in public schools. Teachers and education specialists use administrative portals for content moderation. Parents can access summarized learning reports. Platform use requires school-based activation and local training. |
| Out-of-scope use cases | Not for unsupervised home schooling without teacher linkage. Not intended for use with children under 10, adult learners, or in high-stakes assessment environments. Cannot be used for grading or credential issuance. |
| Terms and conditions | EduGuide may only be deployed by licensed schools under government or NGO partnership. Student data are stored encrypted, with opt-in webcam and voice features. The system does not retain biometric identifiers. Parents must approve use per LGPD and FERPA. Data are never sold or shared for advertising. Schools must commit to digital inclusion standards. |
| Current legal compliance status | Complies with Brazil’s LGPD (data consent, access rights, child-specific protection) and reviewed by São Paulo Education Data Board. Optional webcam features disabled by default. Export versions aligned with FERPA and CCPA requirements. Audited annually by third-party NGO-led education governance consortium. |
| Dataset Description | Trained on 10 million anonymized student interaction logs from Brazilian middle schools (2018–2023). Supplemented by open-access multilingual educational corpora and inclusive content designed for underserved communities. Includes contextual signals (e.g., device type, response time). |
| Collection Method | Data collected through school-administered learning sessions under signed consent protocols. Each school provides anonymization preprocessing. Feedback interactions labeled by teachers. Webcam data stored only for real-time inference, not persisted. |
| Bias Mitigation Measures | Regular fairness audits compare model performance across socioeconomic, geographic, and disability groups. Lessons validated for cultural relevance and language equity. Schools from low-connectivity regions were oversampled to reduce digital divide bias. |
| Usage Constraints | Restricted to public education institutions within Brazil and approved export destinations. Commercial resale forbidden. Device security and data handling policies must meet EduNova’s technical standards. Emotion recognition module requires physical opt-in signature from legal guardian. |
| Summary of Performance Assessment | Adaptive lesson targeting accuracy: 91.6%. Knowledge retention improved by 18% over static curricula in a randomized controlled study. Emotion-aware interruptions reduced dropout in low-engagement students by 11%. |
| Disaggregated Performance | Targeting accuracy by region: South (93.1%), Northeast (89.2%), Amazon (88.7%). Slight underperformance in students using low-resolution devices. No significant disparity by gender or language. Emotion feedback slightly less accurate for students with speech disabilities. |
| Testing Contexts | Piloted across 215 schools in 5 Brazilian states. Simulated network dropouts, low-light webcam conditions, and multilingual dialect variants. Teacher focus groups and student diaries used to validate usability and trust. |
| Evaluations for Edge Cases or Adversarial Inputs | Tested with disengaged students, fake webcam inputs, and adversarial responses (e.g., sarcasm, guess-clicking). Misbehavior detection module added for prompt teacher alerts. Known limitation: sarcasm still causes false confidence readings. |
| Potential Risks and Harms | Risk of over-surveillance if webcam usage is misapplied. Unbalanced recommendations could discourage students. Misinterpretation of affective feedback may lead to inappropriate pedagogical decisions. |
| Actions taken | All webcam/voice-based features are disabled by default and must be unlocked by school admin with consent forms. Student-facing prompts include transparency on feedback use. System alerts teachers rather than acting autonomously on emotional cues. |
| Misuse Scenarios | Using EduGuide as an automated grading tool, deploying in corporate training settings, or exporting data without consent. Prevented through license restrictions, endpoint monitoring, and access key validation. |
| Human Oversight | Teachers receive weekly model-generated insights with override suggestions. All content curation requires teacher pre-approval. Students may flag any lesson as “confusing,” triggering human review. Emotion interpretations must be verified manually before affecting content. |
| Update Frequency | Curriculum updates aligned with national academic calendar (3 times/year). Model updates occur bi-monthly based on new usage data. All changes go through educator review boards and student focus group validation before deployment. |
